,m,pt,phi,eta
0,-0.53014576,-0.60393655,1.0749558,-0.074272424
1,-0.4674641,-0.5825139,0.5578576,0.479025
2,-0.48775464,-0.58296835,-0.62352395,0.5525415
3,0.7594062,1.990749,0.2810446,-1.7917995
4,-0.74819696,-0.6090882,0.20122585,0.9662721
5,-0.53686047,-0.59031487,-1.3492141,-0.2832854
6,-0.5536444,-0.6086999,0.9640387,-0.7986729
7,1.1966033,1.6905751,1.4106189,-1.2714905
8,-0.53871405,-0.5815935,-0.8333131,1.0777745
9,-0.060261488,-0.3006462,-0.33911237,-0.26909974
10,-0.08372837,-0.4107194,0.9961219,-0.30471346
11,2.053753,1.4400665,1.6001731,1.3383293
12,2.4344645,1.1052734,1.2736561,0.345107
13,0.3709335,2.1658533,0.38433564,-1.825114
14,-0.5731933,-0.57153106,-0.24809936,-1.5102682
15,-0.6759567,-0.610821,0.18354794,0.5732707
16,-0.6340184,-0.5926938,1.2974836,-1.1110353
17,-0.61191714,-0.614962,-1.665579,0.20951706
18,-1.1222823,-0.5558332,1.1861272,1.9774226
19,-0.16574919,-0.22394502,-1.5329028,1.0956373
20,0.55913,-0.020820498,0.028596312,0.39105093
21,0.882607,0.22349596,1.0552186,1.1162751
22,-0.49975586,-0.5852914,-0.30470458,-0.48067984
23,-0.09869653,-0.039219618,1.3101599,-1.5613114
24,1.4171667,1.2460536,0.7721916,-0.97897375
25,-0.57075465,-0.5723208,-1.0196532,1.481061
26,-0.5493195,-0.58775747,-1.525833,0.72986925
27,0.33562037,1.2149236,1.3100702,-1.2698121
28,-0.43633884,-0.51523757,-1.7249933,1.4512093
29,-0.6771252,-0.60601807,0.8824677,-0.79412377
30,-0.4897015,-0.5862297,1.5035534,-0.79373074
31,-0.42346692,-0.536577,0.49767014,1.2845709
32,-0.3594157,-0.5493996,-0.7804016,0.4773349
33,-0.46109623,-0.58674467,1.351998,-0.31776628
34,-0.51439583,-0.58950484,0.46467093,-0.6155969
35,-0.44704604,-0.58784986,1.4025974,0.26158443
36,0.83887374,1.1117611,1.4141412,0.67240965
37,-0.48053515,-0.58765316,0.7842196,0.66841173
38,0.9246203,1.4578578,1.3883611,0.47783795
39,-0.47771615,-0.5475216,-1.4600531,-1.1750618
40,-0.6057743,-0.59653664,-1.6594766,1.0293256
41,-0.60625124,-0.59507537,0.39855874,1.2369269
42,0.86901486,1.5416234,-0.500885,-0.102464676
43,3.595934,2.5857143,-1.5607089,0.7561331
44,-0.46211892,-0.56940806,0.37755522,0.8964819
45,0.48963645,1.1151404,0.1747337,1.8944033
46,-0.28933233,-0.48910046,1.2631358,-0.5109991
47,-0.45953292,-0.5772624,0.7499571,0.80722976
48,0.2087959,0.0068234205,-1.526188,-1.377889
49,2.4131203,4.6590223,1.2452978,0.70504737
50,-0.6843883,-0.6079136,-0.14768139,-0.32305625
51,-0.66665614,-0.6038712,-0.13370565,0.97260344
52,-0.3113783,-0.50120056,0.9459157,-0.60354185
53,-0.72128475,-0.5884639,-0.39008662,1.7421896
54,0.092466354,-0.25144255,0.19184732,-0.36789164
55,-0.49349976,-0.5885303,-0.04863611,-0.03501162
56,-0.56432354,-0.58359313,-1.0019726,1.1277353
57,-0.40364313,-0.56666076,0.83216345,0.66867423
58,0.20174497,-0.20271182,0.399491,-0.6694139
59,-0.70017016,-0.6069312,0.7233986,-0.36600998
60,-0.6112757,-0.60529554,-1.599729,-0.5816932
61,-0.531757,-0.5939715,-0.2868518,-0.20153761
62,-0.6759932,-0.61314785,-1.6433109,-0.9513321
63,-0.3986736,-0.564106,-0.5966667,0.22843719
64,-0.56367683,-0.5931083,0.30029616,-0.8429382
65,-0.04103595,-0.17081678,1.3696662,1.0701436
66,-0.569106,-0.5836201,-1.0127707,-1.0968634
67,-0.30868852,-0.49482107,0.49489725,0.9583403
68,-0.71918225,-0.60753,-0.19626895,-0.27932057
69,-0.54413784,-0.5459355,-0.398613,2.0194795
70,-0.51469696,-0.57363474,0.2867133,1.2480097
71,0.8907286,1.9345504,-0.6746206,0.25214192
72,-0.3556335,-0.5628376,1.4626995,-0.0071846545
73,-0.5287833,-0.5931834,-1.091521,-0.019791245
74,-0.49075353,-0.5795728,-0.31295934,0.79132617
75,-0.49947548,-0.57782197,-0.1961582,0.993204
76,1.1050253,1.0083857,1.502289,1.5688746
77,-0.459332,-0.57548344,0.15863645,-0.5256922
78,-0.6307857,-0.5971819,-1.1765586,-0.7737198
79,-0.6974677,-0.60411537,-0.23634729,-0.7746813
80,-0.44937932,-0.56390285,-1.5455052,-0.45672527
81,-0.52706146,-0.5933604,-0.40696517,-0.02191563
82,-0.8107692,-0.58135974,-1.370273,-1.8725898
83,-0.61198175,-0.60390866,0.713232,0.8782482
84,1.4744396,1.3971347,0.66541195,-0.16919532
85,-0.69243467,-0.6097044,0.5750821,0.67810357
86,1.7561249,2.8116918,1.3565158,-0.015262499
87,1.7397994,2.2594178,-0.4749848,-0.19225383
88,0.7265805,2.0514011,-1.0183747,-0.38751963
89,-0.6467196,-0.6078638,0.050910354,-0.40975174
90,-0.5678562,-0.59799504,-0.011496514,-0.5501722
91,-0.63201356,-0.60132456,-1.3330617,0.5972419
92,-0.50920546,-0.59334123,0.61638063,-0.38624743
93,-0.6297363,-0.59534156,0.06382048,-1.1039064
94,-0.63913286,-0.60715365,0.19105396,0.7990093
95,-1.1108605,-0.5280973,-0.78352904,2.8737624
96,-0.44381148,-0.57637846,-0.5391185,-0.22961026
97,-0.24962747,-0.031532407,1.3192426,2.0150485
98,-0.15356344,-0.28706622,-1.702351,0.78561556
99,1.4956114,1.8491132,0.4249599,0.13786268
100,-0.28721642,-0.50209033,-0.3503941,0.5174052
101,-0.63015795,-0.5999073,-1.4611279,0.7716367
102,1.7708935,0.99812126,-0.405076,-0.4059433
103,-0.12221837,-0.22162902,1.2454093,-0.7859968
104,-0.45038944,-0.5518149,1.1027753,1.019945
105,-0.6812117,-0.61211956,0.90429497,-0.5297401
106,-0.74149597,-0.6084839,0.56971484,0.8603871
107,-0.6454787,-0.6005827,0.010291487,-0.92794704
108,-0.55118513,-0.5964507,0.7839445,0.92494917
109,-0.38103765,-0.55037403,0.21922785,-0.401127
110,-0.28975308,-0.50218594,1.4724671,-1.0851105
111,-0.47826928,-0.5779829,-1.4954262,-0.033831835
112,-0.5892569,-0.604722,1.1934508,-0.5211437
113,-0.6709267,-0.6047909,-1.4267051,-0.63988006
114,-0.42945403,-0.5896623,1.0059618,-0.91557443
115,-0.60818744,-0.58366346,-0.9289919,1.3419607
116,-0.2972139,-0.4856447,0.17743382,0.92894816
117,0.6284109,0.2893114,-0.35874525,-0.7383654
118,2.0993724,1.543977,-0.5217254,-0.7094823
119,-0.6609956,-0.6004406,-0.83722854,-0.8131335
120,1.6723691,1.8148799,0.48781425,0.7583513
121,-0.44993603,-0.57342494,-1.3129762,0.17753974
122,-0.3232109,-0.4756378,-1.4738234,-0.9885832
123,-0.53048253,-0.58874357,1.6897184,0.8962525
124,-0.5217571,-0.58788383,1.5805012,-0.9336703
125,-0.28640598,-0.4865358,-0.40869948,-0.9142965
126,-0.5576993,-0.5986024,-0.07445714,0.49292627
127,-0.62672675,-0.59876966,1.6422215,-0.8922782
128,-0.27604145,-0.14665413,1.2080494,-1.9663455
129,-0.47220987,-0.57988596,1.5201448,-0.8976879
130,-0.5262836,-0.58452845,-0.24051157,0.9693711
131,-0.45562875,-0.56440413,-1.2281989,0.8961388
132,0.50490975,0.12943071,-1.4015887,-0.07112101
133,-0.24227786,-0.47314394,1.3869137,-0.77555585
134,-0.59128976,-0.57570755,1.3724254,-1.464939
135,2.436339,2.0393753,-0.5127468,-1.4681927
136,0.4390868,-0.07700348,-1.1197876,1.639907
137,-0.43031913,-0.580395,0.8080148,-0.47971156
138,-0.15397608,-0.20612562,-0.7660407,1.5934387
139,-0.5470278,-0.61006606,0.937899,-0.42239437
140,-0.48912668,-0.5773393,0.27851295,-0.83576953
141,-0.4490034,-0.5328212,-0.7983912,1.633983
142,-0.4154563,-0.5549687,-0.9526782,-0.9167297
143,0.9779154,1.4439235,0.45878342,-2.0302286
144,-0.7329645,-0.6081054,0.3497061,1.0882442
145,-0.54014266,-0.5934025,0.37143758,0.7868165
146,0.8861376,1.3347545,-0.49776557,0.72449994
147,-0.093495965,-0.328992,-0.41662207,0.36958075
148,1.1280936,0.6069217,-0.42517683,0.28841323
149,-0.72023654,-0.5955894,-0.077960104,1.6843799
150,-0.4573307,-0.5740422,-1.3724699,0.15172821
151,-0.71696985,-0.6025995,-0.38108048,-0.88428164
152,-0.5746875,-0.48246598,-1.6084958,2.235536
153,2.8517659,2.136781,0.8796175,-0.10045752
154,-0.39315218,-0.53602076,0.2243135,1.0086865
155,-0.5584557,-0.5886749,-1.3045586,0.7874267
156,2.5144644,4.000736,-1.4949874,1.5899982
157,-0.33664352,-0.5276747,-1.3594255,0.30930695
158,0.47452578,0.740238,-0.43631706,-1.563652
159,0.45074075,-0.0614444,-0.97292936,1.1499974
160,1.2444336,1.9583237,-0.4083384,-1.5509971
161,-0.4020924,-0.5014274,-0.3308001,-1.6670849
162,-0.34163368,-0.5031818,1.2715905,-0.96921587
163,1.262455,2.9521685,1.299635,-1.4615752
164,0.6524034,0.7054769,0.492792,0.65575516
165,-0.49923348,-0.58598506,-1.2570361,-0.056702673
166,2.83026,1.885752,1.047195,-0.96916664
167,-0.81018555,-0.60192823,-0.26657054,-0.69477224
168,-0.23586118,-0.44025838,0.2593906,0.9979261
169,-0.15275604,-0.398481,1.4181801,-0.92925835
170,-0.4879461,-0.58133364,-0.6123786,0.65551925
171,-0.6159711,-0.6048441,-1.7264384,1.0576956
172,-0.57019484,-0.596722,0.8078686,-0.88633955
173,1.2436703,1.0656096,0.708806,0.41764235
174,-0.43705726,-0.5640464,1.7114716,-0.9121319
175,-0.25355345,-0.44270515,0.450246,1.1707095
176,-0.58579206,-0.6042392,-1.6703731,0.65028274
177,-0.57244515,-0.5975106,1.5646789,-0.7970948
178,0.50420004,1.4607441,0.30286363,-0.15697432
179,-0.40137315,-0.5596477,0.7530265,-0.8984667
180,-0.4148695,-0.5159236,-0.5038985,-1.6230148
181,-0.46540445,-0.5835891,0.7818384,0.67384714
182,0.22540045,-0.2476927,-1.0228014,0.9444454
183,-0.34831625,-0.5364219,-1.3317643,0.13654855
184,0.11333704,0.22167331,-0.51114,-0.6393738
185,-0.36451584,-0.51647806,-1.5826663,0.80534804
186,1.1812081,0.66207236,-0.19544318,-2.192132
187,0.08772865,-0.23140323,-1.6038512,-1.0630739
188,-0.40336603,-0.5485581,-0.803861,1.0261718
189,-0.6441289,-0.5979389,-0.8602176,0.78307915
190,-0.6972853,-0.6053338,0.73320687,-0.52869725
191,-0.48661804,-0.58815336,0.9250532,0.9931809
192,-0.5655192,-0.60209227,-1.6964973,0.67954314
193,-0.42763293,-0.52827644,-1.3818172,-1.201658
194,-0.65758,-0.5927179,-0.54871106,1.2520659
195,0.038177907,1.4075762,-1.289638,1.9538283
196,-0.7249012,-0.60472727,0.67787635,-0.51820815
197,2.8844402,4.024823,1.3433225,-1.5915605
198,1.3726885,1.4686953,0.5973959,-0.75448775
199,-0.4227329,-0.55222,-0.77348065,1.1002573
200,-0.57143426,-0.59133375,0.2268148,-0.96183157
201,1.879554,1.3606393,-0.5430889,0.8670145
202,1.3306003,1.8194914,-0.48476717,0.26564422
203,1.5294377,1.549755,1.5272208,2.1190672
204,-0.5861963,-0.60714364,-1.6963676,-0.8641194
205,-0.37439913,-0.5066147,-1.5400878,1.0844582
206,-0.96257114,-0.5813762,-1.1953521,1.8935553
207,-0.39412212,-0.5554595,-1.1919307,-0.42256984
208,-0.62720346,-0.5968553,0.634102,1.2710657
